"42872","ontology"
"36471","wikipedia"
"32976","online+arabic+recognition"
"30926","Constraint-Handling+in+Evolutionary+Optimization"
"29230","D34+v0.1+The+Web+compliance+of+WSML"
"27837","cloud+computing"
"25257","facebook"
"24671","An+Ontology-Based+Data+Mediation+Framework+for+Semantic+Environments"
"22947","online+reviews:+do+consumers+use+them%3F"
"22068","the+economics+of+social+network"
"21769","Configurable+workflow"
"19678","online+uyghur+recognition"
"15891","chaotic+time+series"
"13103","handwritten+overlap+character++recognition"
"12676","Configurable+workflow+business+process"
"12213","twins+functioning+as+half+of+a+whole"
"11516","%22non+planar%22+wing"
"11501","blended+wing+aerodynamic"
"11457","kalman+filter"
"10467","principal+component+analysis%2C+artificial+neural+network+and+river+water+quality+analysis"
"10008","Spineless+Tagless+G-machine"
"9447","multiobjective+optimization+and+multiple+constraint+handling+with+evolutionary+algorithms"
"9393","data+mining"
"9261","Haar-Like+feature+++svm"
"8978","Database+Intrusion+Detection"
"8940","shallow+water+acoustic+networks"
"7593","A+primer+on+cointegration+with+an+application+to+money+and+income"
"7388","Aubry-Mather+theory+and+PDEs"
"7301","semantic+search"
"7266","augmented+reality"
"7173","Ontology+driven+data+mediation+in+web+services"
"6709","6lowpan+autoconfiguration"
"6460","Vessel+axis+tracking+using+topology+constrained+surface+evolution"
"5958","curved+channel"
"5881","ontology+driven+data+mediation+in+web+services"
"5766","+Blind+deconvolution+of+im-ages+using+optimal+sparse+representations"
"5761","survey+network+optimization"
"5531","ajax"
"5514","contagion"
"5513","social+networking"
"5353","Numerical+Simulation+of+Turbulent+Free-Surface+Flow+in+Curved+Channel"
"5194","learning+styles"
"5104","twitter"
"5093","Network-on-chip+concept"
"4941","face+detection"
"4937","genetic+algorithm"
"4764","youtube"
"4662","charge+pump"
"4623","face+recognition"
"4589","Network+Trust+Computer+Based"
"4563","semantic+web"
"4550","green+marketing"
"4491","social+cognitive+theory"
"4474","rocker-bogie+suspension+system"
"4440","evaluation+and+validation+of+canopy+laser+radar+systems+for+native+and+platation+fores+inventory"
"4422","limited+communication+multi-robot+team+based+coverage"
"4412","+Improved+routing+wasps+for+distributed+factory+control"
"4341","Arsenic+adult+neurogenesis"
"4330","experimental+airpath+control"
"4328","collaborative+learning"
"4283","quaternion-based+Kalman+filter++++code"
"4273","Review+of+research+relevant+to+rail+competition+for+short-haul+air+routes."
"4251","wireless+sensor+network"
"4175","journal+for+mathematics+mobile+learning"
"4165","Simultaneous++color+constancy"
"4144","+quantum++genetic+++kmeans+"
"4135","overcoming+the+internet+impasse+through+virtualization"
"4046","calibration+and+empirical+bayes+variable+selection"
"4009","mobile+learning"
"3967","Asif+Ekbal%2C+Rejwanul+Haque%2C+Amitava+Das%2C+Venkateswarlu+Poka%2C+and+Sivaji+Bandyopadhyay%2C+Language+Independent+Named+Entity+Recognition+in+Indian+Languages+"
"3821","change+management"
"3817","normalization+3D"
"3785","uniform+2+price+auctions%3Aevaluation+of+the+treasury+experience"
"3698","rock+%22stress+relief%22"
"3686","e-banking+service+"
"3673","adaptive+sampling"
"3662","word+reading+comprehension"
"3655","%2CFacial+expression+analysis+and+synthesis---a+survey"
"3621","ecg+heartbeat+classification+2010"
"3529","transportation+"
"3510","large+scale+l1+regularized+least+squares+problems"
"3433","Fingerprint+Recognition"
"3422","voip"
"3385","content+analysis"
"3383","SAR+++GIS+++earthquake"
"3359","feature+selection"
"3274","an+edge+guided+compressive+sensing+recons+truction"
"3271","qt+tcp+socket+file+transfer"
"3248","Analysis+of+ASTER+Multispectral+Stereo+Imagery+to+Produce+DEM+and+Land+Cover+Databases+for+Greek+"
"3214","Precise+Slow+Motion+Control+of+a+Direct-Drive+Robot+Arm+with+Velocity+Estimation+and+Friction+Compensation"
"3188","piston+engine+for+aircraft+pdf"
"3179","social+media"
"3128","facebook+privacy"
"3116","knowledge+management"
"3101","Hao+Chen+algebraic+geometric"
"3085","active+learning"
"3049","mesenchymal+stem+cells"
"3023","time+management"
"3016","RFID"
"3013","image+segmentation"
"3011","blended+learning"
"2986","Concepts+and+implementation+of+the+Philips+net-work-on-chip"
"2931","mapreduce"
"2909","digital+divide"
"2901","mobile+marketing"
"2889","web+2.0"
"2875","principles+of+marketing"
"2866","gdi+egr"
"2857","The+Policy+Sciences+of+Democracy"
"2847","geographical+elements+generalization"
"2830","rfid"
"2823","variance"
"2808","facebook+"
"2755","wireless+sensor+networks"
"2750","online+reviews+fraud"
"2748","sparse+PCA"
"2718","Cloud+Computing"
"2707","Performance+limitations+and+self-sensing+magnetic+bearings"
"2690","yahoo"
"2689","wavelet+denoise"
"2685","public+investment+overinvestment"
"2677","structured+light"
"2646","social+network"
"2640","e-commerce"
"2639","web+mining"
"2624","artificial+intelligence"
"2618","Finding+Clusters+of+Different+Sizes,+Shapes,+and+Densities+in+Noisy,+High+Dimensional+Data"
"2605","online+dating"
"2600","Integration+of+continuous+caster"
"2583","management+information+system"
"2571","dimensionality+reduction"
"2569","business+process+management"
"2564","network+coding"
"2519","communication"
"2519","Probabilistic+Robotics"
"2518","support+vector+machine"
"2477","case+study+design"
"2476","Social+Responsibility+of+Media"
"2437","Facebook"
"2421","image+retrieval"
"2408","A+novel+approach+for+efficient+search+in+graph+databases."
"2367","business+model"
"2363","Derivatives+of+complex+absolute+function"
"2306","music+classification"
"2289","meta+pattern"
"2288","part+of+speech"
"2283","probability+%EF%BC%9Atheory+and+example"
"2281","testing+aspect+oriented+programming+papers"
"2261","Self-organizing+Maps"
"2245","creating+effecient+codebooks+for+visual+recognition"
"2230","MPEG+Video+Watermarking+with+a+fuzzy+algorithm"
"2227","%22A+Scalable+Approach+to+attack+graph+generation%22"
"2222","p2p+chord+delay++optimize"
"2202","critical+thinking"
"2198","internet+of+things"
"2197","skype"
"2179","GPU+cluster"
"2176","support+vector+machine+tutorial"
"2143","contract+Outsourcing+"
"2129","google"
"2102","image+registration"
"2077","technology"
"2062","background+model"
"2047","%22Locality-sensitive+hashing%22"
"2020","matlab"
"2017","C%23"
"2010","compressive+sensing"
"2007","video+games"
"2002","Global+optimization+of+weighted+mutual+infoemation+for+multi-modality+image+registration"
"1996","growth+diagnostics"
"1988","compressed+sensing"
"1974","p2p"
"1958","virtualization"
"1957","modal+analysis-based+"
"1954","gradient+mesh"
"1952","search+engine"
"1947","Determining+Lyapunov+exponents+from+a+time+series"
"1946","Computational+Modeling+of+Protective+Clothing"
"1946","Application+of+OOP"
"1939","at+cut+quartz+stiffness+coefficient"
"1938","High-order/Spectral+methods+on+unstructured+grids+IN.+time-domain+solution"
"1933","sentiment+analysis"
"1921","vocational+education+in+resent+years"
"1914","neural+network"
"1913","a+formal+data+model+for+ids+alert+correlation"
"1911","ad+hoc"
"1906","scrum"
"1906","Zhang+Yanchun"
"1890","Atomic+decomposition+by+basis+pursuit"
"1889","observational+learning"
"1885","climate+change+perception"
"1875","Mapping+target+signatures+via+partial+unmixing+of+AVIRIS"
"1872","multiplicative+noise+denoising"
"1866","A+semantic+blend+feature+definition++"
"1859","One+Measure+of+Segregation%EF%BC%8C"
"1859","credit+risk"
"1855","cognitive+radio"
"1855","ad+hoc+network"
"1842","pagerank"
"1834","Kayoko+Okada"
"1832","high-lift"
"1820","computer"
"1820","continuum+robot"
"1806","information+security"
"1802","website+design"
"1789","object+detection"
"1788","data+warehouse"
"1787","risk+management"
"1781","stroop+effect"
"1777","phishing"
"1776","clustering"
"1772","Quanan+Zheng"
"1770","mobile+computing"
"1765","Distinguishing+paintings+from+photographs"
"1761","online+shopping"
"1760","compare+QR+and+Jacobi"
"1759","observational+learning+consumer"
"1759","TDRS+Rendezvous++Docking"
"1758","ECC+on+GF(2n)+for+Normal+Basis"
"1744","overview+of+transactional+memory"
"1742","myspace"
"1731","Uncertainty+Propagation+in+an+Integrated+Land+Use-Transportation+Modeling+Framework.+Output+Variation+via+UrbanSim"
"1722","Cumani+"
"1718","processing+of+laser+scanning+data+for+wooded+areas"
"1715","sensor+network"
"1715","text+mining"
"1714","elearning"
"1706","user+centered+design"
"1704","internet"
"1700","social+networking+sites"
"1699","ant+colony+optimization"
"1694","compressive+sensing+nonlocal"
"1677","reinforcement+learning"
"1675","principal+component+analysis"
"1658","object+tracking"
"1654","embedded+system"
"1652","information+retrieval"
"1640","information+system"
"1639","super+resolution"
"1635","markowitz+portfolio+theory"
"1634","e-learning"
"1625","qualitative+content+analysis"
"1616","Smalltalk:+a+Reflective+Language"
"1615","wavelet"
"1612","machine+learning"
"1607","Acoustic+interactions+of+the+voice+source+with+the+lower+vocal+tract."
"1606","Description+of+the+flow+through+in-vitro+models+of+the+glottis+during+phonation"
"1600","nanohandling+biomedical+application"
"1597","watermark"
